구명,행정동명,점포당평균매출액,이전점포당평균매출액,변동률
도봉구,쌍문제2동,648398471,558444567,16
도봉구,쌍문제3동,2738877114,2784195197,-1
도봉구,창제1동,2989866214,3238126879,-7
도봉구,창제2동,2792635779,2711163040,3
도봉구,창제3동,2623437660,2559385551,2
도봉구,창제4동,3543661433,3680452846,-3
도봉구,창제5동,2403995530,2617948603,-8
동대문구,답십리제1동,2886090660,2687240139,7
동대문구,답십리제2동,4002154300,4361345077,-8
동대문구,용신동,4035022071,3939141393,2
동대문구,이문제1동,2976534389,3188849089,-6
동대문구,이문제2동,1160097378,1199981677,-3
동대문구,장안제1동,4008648428,3162038641,26
동대문구,장안제2동,5794241130,6094384420,-4
동대문구,전농제1동,3305375175,3728303799,-11
동대문구,전농제2동,3734280860,3740845277,0
동대문구,제기동,3191986530,2067244111,54
동대문구,청량리동,2164644112,3067902720,-29
동대문구,회기동,2759332267,2687543898,2
동대문구,휘경제1동,3093068686,3578391494,-13
동대문구,휘경제2동,2500968050,2845133417,-12
동작구,노량진제1동,4038051448,4756841000,-15
동작구,노량진제2동,2193501620,2618088221,-16
동작구,대방동,5047880774,4722121622,6
동작구,사당제1동,4925581851,5673810332,-13
동작구,사당제2동,3956211478,3814237681,3
동작구,사당제3동,2906681933,2179308438,33
동작구,사당제4동,7773583419,9763569473,-20
동작구,사당제5동,3808547375,4676073438,-18
동작구,상도제1동,4916126532,4704026380,4
동작구,상도제2동,3565801566,3792423719,-5
동작구,상도제3동,4296767914,4301271321,0
동작구,상도제4동,3113324155,3581803198,-13
동작구,신대방제1동,2859268929,2900718415,-1
동작구,신대방제2동,2433852188,2517974675,-3
동작구,흑석동,2531758790,2840332763,-10
마포구,공덕동,3905603492,4616838849,-15
마포구,대흥동,4896272913,5509539378,-11
마포구,도화동,3125914207,4264177113,-26
마포구,망원제1동,3769259996,3519155474,7
마포구,망원제2동,3289586231,3683599299,-10
마포구,상암동,2475673761,2426816772,2
마포구,서강동,2433492647,2598961801,-6
마포구,서교동,3115860342,3033624418,2
마포구,성산제1동,4930437967,4432588086,11
마포구,성산제2동,2017887288,2242423202,-10
마포구,신수동,4020278706,4538516495,-11
마포구,아현동,3480747594,3295376092,5
마포구,연남동,1885819566,2123194453,-11
마포구,염리동,3267097150,3215575851,1
마포구,용강동,2138915724,2330960260,-8
마포구,합정동,3982847576,3973784525,0
서대문구,남가좌제1동,2301298286,1962898656,17
서대문구,남가좌제2동,3333761092,3633675835,-8
서대문구,북가좌제1동,606634712,544305704,11
서대문구,북가좌제2동,3276209693,3221191909,1
서대문구,북아현동,3614566074,3898098906,-7
서대문구,신촌동,1629674817,1952897923,-16
서대문구,연희동,3449695820,3660918633,-5
서대문구,천연동,2884040481,3472803393,-16
서대문구,충현동,3537735765,4014275703,-11
서대문구,홍은제1동,2616351744,2984929300,-12
서대문구,홍은제2동,936597744,1082031377,-13
서대문구,홍제제1동,5448663364,4825072146,12
서대문구,홍제제2동,3391394425,4430968958,-23
서대문구,홍제제3동,2755238856,2426686194,13
서초구,반포1동,2313832046,3082633438,-24
서초구,반포4동,4483417142,4686822361,-4
서초구,방배1동,5517615599,4936073529,11
서초구,방배2동,4276725224,5354983038,-20
서초구,방배3동,3032486368,3805488794,-20
서초구,방배4동,6652778827,5200233696,27
서초구,방배본동,6209687085,5982761051,3
서초구,서초1동,6968409528,8473885726,-17
서초구,서초2동,2100989251,2209958692,-4
서초구,서초3동,3530059890,4011770205,-12
서초구,서초4동,1857772962,2095177181,-11
서초구,양재1동,3541985324,3826558701,-7
서초구,양재2동,3721578833,3764735254,-1
서초구,잠원동,2445840727,2581488402,-5
성동구,금호2.3가동,3325328371,3180025722,4
성동구,마장동,3672688032,3861791533,-4
성동구,사근동,3519131805,2822456990,24
성동구,성수1가제1동,3091227820,3802692883,-18
성동구,성수1가제2동,9992498600,6020344336,65
성동구,성수2가제1동,3950517305,3723657242,6
성동구,성수2가제3동,4137372320,4165884491,0
성동구,송정동,5061641881,4143269255,22
성동구,옥수동,2054730738,2446930347,-16
성동구,왕십리도선동,4828983795,5170440168,-6
성동구,왕십리제2동,6388497972,5383958082,18
성동구,용답동,4962369469,4632488532,7
성동구,행당제1동,5583868320,5085264436,9
성북구,길음제1동,2662914742,2988063015,-10
성북구,길음제2동,3925262358,4486243553,-12
성북구,동선동,3987028106,4302394585,-7
성북구,보문동,3655169560,3577697382,2
성북구,삼선동,4368690079,4263112959,2
성북구,석관동,4411142181,4595153340,-4
성북구,성북동,3213515683,3357589312,-4
성북구,안암동,2453201540,2630881798,-6
성북구,월곡제1동,3338987735,4751670252,-29
성북구,월곡제2동,2865629278,3244528162,-11
성북구,장위제1동,1032915072,980035997,5
성북구,장위제2동,3003205679,3523587636,-14
성북구,장위제3동,681432853,597537827,14
성북구,정릉제2동,3931211430,4439659911,-11
성북구,정릉제3동,2567542723,2962280401,-13
성북구,정릉제4동,2148537886,2593782487,-17
성북구,종암동,3907940338,3155988755,23
송파구,가락1동,3567075311,4130860277,-13
송파구,가락2동,3354991449,3905462917,-14
송파구,가락본동,2680352278,3135848534,-14
송파구,마천2동,4153363871,3656507116,13
송파구,문정1동,2804885819,3390257355,-17
송파구,문정2동,2653769546,2606824330,1
송파구,방이1동,4287152645,4231893106,1
송파구,방이2동,3055217430,3120094289,-2
송파구,삼전동,3750269819,4244189749,-11
송파구,석촌동,3453682607,3351686148,3
송파구,송파1동,3946077316,4500656970,-12
송파구,오금동,3682995976,3833763941,-3
송파구,잠실3동,2133693410,2351037258,-9
송파구,잠실6동,3544995725,3022504718,17
송파구,잠실본동,3038347563,3243989857,-6
송파구,풍납1동,4429341397,3888379415,13
양천구,목1동,2861611000,2507292347,14
양천구,목2동,3970568289,4027404605,-1
양천구,목3동,4641086069,4754625894,-2
양천구,목4동,6036536394,6328637055,-4
양천구,신월1동,3481025721,3364458958,3
양천구,신월2동,2214349231,2718053074,-18
양천구,신월3동,2535065271,2385753841,6
양천구,신월4동,3846473495,4814130954,-20
양천구,신월5동,5860615655,6010333681,-2
양천구,신월6동,7038652426,7780537596,-9
양천구,신월7동,3538538093,4572087515,-22
양천구,신정1동,5099873571,5174530627,-1
양천구,신정2동,4204652151,5024674895,-16
양천구,신정3동,4221010130,4855633795,-13
양천구,신정4동,3111134862,3854764389,-19
양천구,신정7동,3490224945,3758001037,-7
영등포구,당산제1동,5185847373,5877179585,-11
영등포구,당산제2동,3563373559,4062591763,-12
영등포구,대림제1동,3384335036,3799484178,-10
영등포구,대림제2동,2480976475,2299846719,7
영등포구,대림제3동,3953615316,2976724694,32
영등포구,도림동,3081675399,4087896299,-24
영등포구,문래동,3122320386,3249314221,-3
영등포구,신길제1동,7914091842,7131683352,10
영등포구,신길제3동,2980640882,2439001461,22
영등포구,신길제4동,1544295096,1286180281,20
영등포구,신길제5동,2626286915,1986911092,32
영등포구,신길제6동,2696942795,2616866519,3
영등포구,신길제7동,3006626242,2373652559,26
영등포구,양평제1동,4461589941,5005142723,-10
영등포구,양평제2동,4947111770,5416126834,-8
영등포구,여의동,4254685494,3321222851,28
영등포구,영등포동,1609285453,1527309608,5
영등포구,영등포본동,3052701640,2908576709,4
용산구,남영동,3781099272,4072792315,-7
용산구,보광동,2208128242,2592237171,-14
용산구,서빙고동,1135201111,1667109675,-31
용산구,용문동,2792777804,3348286187,-16
용산구,용산2가동,2416548815,2611902980,-7
용산구,원효로제1동,1654345360,1706656917,-3
용산구,원효로제2동,2114081784,2021809582,4
용산구,이촌제1동,5176224982,5675771475,-8
용산구,이촌제2동,2079232567,2239994346,-7
용산구,이태원제1동,2869505185,2474166421,15
용산구,이태원제2동,2234248174,2460986484,-9
용산구,청파동,3365386474,3692056435,-8
용산구,한강로동,2266053456,2616730830,-13
용산구,한남동,5440584673,5210240084,4
용산구,효창동,2888330700,3259832886,-11
용산구,후암동,3805348365,3726065009,2
은평구,갈현제1동,5921865699,4773033684,24
은평구,갈현제2동,3860521574,3586883561,7
은평구,구산동,1603810105,2429733571,-33
은평구,녹번동,4228319285,4407803847,-4
은평구,대조동,3522140140,3401977586,3
은평구,불광제1동,3609471747,3892866260,-7
은평구,불광제2동,5052191529,5112298264,-1
은평구,수색동,792990228,728147644,8
은평구,신사제1동,2223255618,2106868674,5
은평구,신사제2동,1578820812,1530978164,3
은평구,역촌동,2446506249,2745996538,-10
은평구,응암제1동,5634843952,6673637058,-15
은평구,응암제2동,1571799136,1784900613,-11
은평구,응암제3동,3248459374,3347662602,-2
은평구,증산동,4169084332,5569530019,-25
종로구,가회동,2882831621,2111495132,36
종로구,교남동,2231089301,2026613541,10
종로구,부암동,962582644,1301161331,-26
종로구,사직동,5612582760,5704396002,-1
종로구,삼청동,2711279959,2465147055,9
종로구,숭인제1동,2418409538,2673110223,-9
종로구,숭인제2동,7948518531,7616185424,4
종로구,이화동,4428532805,5865332142,-24
종로구,종로1.2.3.4가동,1783709765,1841935651,-3
종로구,종로5.6가동,2534954360,2253984151,12
종로구,창신제1동,4603202539,5215187495,-11
종로구,창신제2동,3772939542,3978664364,-5
종로구,청운효자동,2155804127,2132683791,1
종로구,평창동,3546341407,1769006065,100
종로구,혜화동,4302741228,4905369334,-12
중구,광희동,3803269475,3993250288,-4
중구,다산동,3689124039,5061114136,-27
중구,동화동,2665161322,2875213459,-7
중구,명동,1470373830,1579036412,-6
중구,소공동,2976040092,2216647943,34
중구,신당동,2477555404,2806726817,-11
중구,신당제5동,4504400598,5003879628,-9
중구,약수동,8241282809,8740256292,-5
중구,을지로동,1994114142,2102156554,-5
중구,장충동,4200928384,3730157360,12
중구,중림동,873017010,902146796,-3
중구,청구동,2269499161,2261329986,0
중구,필동,1596859137,1944679588,-17
중구,황학동,4965127661,6733310749,-26
중구,회현동,1821561779,1750506043,4
중랑구,망우본동,2732414633,2592367792,5
중랑구,망우제3동,1107017111,1198301694,-7
중랑구,면목본동,2639021498,2904064562,-9
중랑구,면목제2동,2602266127,2649135022,-1
중랑구,면목제3.8동,2937025389,2869045242,2
중랑구,면목제4동,2487072930,2438968952,1
중랑구,면목제7동,3233831017,3680571549,-12
중랑구,묵제1동,2983923076,3038337149,-1
중랑구,묵제2동,2774867789,2852666949,-2
중랑구,상봉제1동,955819880,853370810,12
중랑구,상봉제2동,5284305058,5390698259,-1
중랑구,신내1동,3888638447,4237977391,-8
중랑구,중화제1동,3198203638,3860458457,-17
중랑구,중화제2동,4601265288,4092320154,12
