연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2018Y 3Q,성동구,119586,6099,33694,25579,20000,19055,15126,17099,17452,17223,17870,18409,16379,15117,62115,57465
2018Y 3Q,성북구,183856,16123,63309,30621,26591,25459,21711,26399,26658,26059,26171,26535,26387,25597,88938,94913
2018Y 3Q,송파구,140677,9012,34702,31319,24130,22914,18559,19129,19894,20029,20189,21103,20899,19390,72494,68173
2018Y 3Q,양천구,92646,7731,18337,17534,17549,17408,14047,12981,13022,12974,13047,13631,13736,13203,47563,45072
2018Y 3Q,영등포구,214214,7826,53935,46623,37814,37332,30636,29948,30572,30573,30785,32238,30550,29491,112643,101561
2018Y 3Q,용산구,114299,4642,39093,28834,18165,13270,10255,15271,15771,15862,16238,17566,17609,15938,58413,55879
2018Y 3Q,은평구,184711,15345,43990,33210,30981,32128,29021,25947,26037,25593,25482,27086,27816,26705,90321,94386
2018Y 3Q,종로구,196757,9283,63578,39218,31480,28403,24761,27172,29361,29263,30007,31360,27823,21729,103559,93195
2018Y 3Q,중구,193285,5929,48116,45572,36357,32057,25219,29170,30984,29085,30838,32264,23211,17685,101138,92137
2018Y 3Q,중랑구,105052,5968,22409,19701,17725,21425,17789,14812,14557,14508,14536,15095,15716,15787,53698,51345
2018Y 4Q,강남구,476075,23628,136514,125999,86701,57883,45305,70421,70201,73452,75347,77702,61674,47226,246672,229396
2018Y 4Q,강동구,184722,12011,38414,36081,32177,35230,30772,25849,25703,25812,25540,27146,27869,26752,93449,91270
2018Y 4Q,강북구,132305,7819,33617,22739,21769,24450,21879,18261,18087,18059,17796,19106,20709,20251,65402,66899
2018Y 4Q,강서구,148687,9585,32416,32918,26274,25039,22415,20817,20700,20833,20482,21331,22509,21965,75571,73107
2018Y 4Q,관악구,231242,10284,85958,47302,29470,30401,27776,31640,31595,31636,31298,33303,36536,35174,123396,107838
2018Y 4Q,광진구,163182,10126,56372,31181,22738,24140,18589,22196,22156,22232,21975,23734,26514,24330,82470,80708
2018Y 4Q,구로구,121287,4769,27423,26764,22100,21960,18237,17291,16964,17030,16962,17749,17616,17631,64426,56854
